year,concrete, brick,wood,steel, glass,plastics,aluminium ,copper
1690,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1691,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1692,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1693,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1694,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1695,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1696,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1697,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1698,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1699,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1700,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1701,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1702,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1703,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1704,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1705,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1706,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1707,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1708,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1709,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1710,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1711,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1712,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1713,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1714,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1715,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1716,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1717,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1718,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1719,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1720,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1721,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1722,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1723,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1724,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1725,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1726,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1727,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1728,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1729,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1730,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1731,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1732,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1733,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1734,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1735,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1736,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1737,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1738,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1739,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1740,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1741,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1742,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1743,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1744,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1745,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1746,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1747,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1748,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1749,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1750,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1751,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1752,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1753,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1754,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1755,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1756,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1757,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1758,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1759,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1760,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1761,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1762,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1763,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1764,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1765,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1766,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1767,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1768,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1769,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1770,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1771,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1772,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1773,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1774,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1775,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1776,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1777,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1778,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1779,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1780,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1781,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1782,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1783,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1784,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1785,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1786,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1787,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1788,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1789,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1790,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1791,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1792,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1793,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1794,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1795,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1796,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1797,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1798,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1799,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1800,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1801,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1802,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1803,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1804,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1805,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1806,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1807,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1808,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1809,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1810,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1811,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1812,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1813,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1814,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1815,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1816,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1817,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1818,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1819,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1820,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1821,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1822,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1823,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1824,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1825,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1826,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1827,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1828,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1829,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1830,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1831,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1832,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1833,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1834,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1835,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1836,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1837,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1838,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1839,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1840,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1841,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1842,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1843,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1844,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1845,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1846,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1847,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1848,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1849,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1850,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1851,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1852,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1853,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1854,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1855,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1856,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1857,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1858,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1859,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1860,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1861,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1862,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1863,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1864,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1865,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1866,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1867,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1868,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1869,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1870,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1871,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1872,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1873,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1874,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1875,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1876,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1877,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1878,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1879,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1880,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1881,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1882,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1883,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1884,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1885,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1886,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1887,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1888,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1889,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1890,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1891,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1892,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1893,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1894,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1895,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1896,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1897,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1898,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1899,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1900,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1901,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1902,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1903,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1904,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1905,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1906,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1907,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1908,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1909,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1910,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1911,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1912,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1913,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1914,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1915,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1916,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1917,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1918,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1919,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1920,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1921,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1922,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1923,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1924,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1925,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1926,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1927,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1928,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1929,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1930,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1931,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1932,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1933,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1934,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1935,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1936,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1937,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1938,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1939,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1940,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1941,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1942,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1943,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1944,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1945,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1946,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1947,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1948,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1949,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1950,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1951,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1952,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1953,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1954,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1955,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1956,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1957,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1958,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1959,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1960,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1961,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1962,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1963,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1964,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1965,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1966,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1967,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1968,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1969,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1970,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1971,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1972,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1973,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1974,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1975,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1976,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1977,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1978,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1979,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1980,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1981,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1982,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1983,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1984,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1985,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1986,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
1987,867.16,181.39,20.28,32.45,2.1,1.32,0.49,0.18
